# MEAN_SAMPLE_SIZE = 83724
# TOTAL_GENES = 18514
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130      0.11314    0.0094474      0.09792      0.12397 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.17468     -0.01174      0.11192       0.9407 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     228    -0.043964   -0.0048488     0.069527      0.73641 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24      0.18008    0.0064796      0.21506      0.20121 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.96395     0.015839      0.55515     0.041258 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      0.13005    0.0054857      0.18392      0.23977 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.14337    0.0042131      0.27557      0.30144 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     179     0.073954    0.0072367     0.076752      0.16764 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     110     -0.21844    -0.016788      0.10188      0.98398 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101      0.11634    0.0085699      0.10641      0.13712 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18     0.024843   0.00077427      0.24977      0.46038 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      64    -0.099397   -0.0058341      0.12128      0.79377 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      38      -0.0819   -0.0037067      0.16281      0.69253 AMIT_EGF_RESPONSE_120_MCF10A
