file	trait	N	sample_prev	population_prev
MDD_EAS_for_LDSC.sumstats_noINFO.gz	MDD	NA	0.5	0.15
Edu_EAS_for_LDSC.sumstats_noINFO.gz	EA	NA	NA	NA
SCZ_EAS_for_LDSC_withN.sumstats.gz	SCZ	NA	0.5	0.01
10k_HELIOS_EAS_clean_for_MTAG.txt	CF_HELIOS10K	NA	NA	NA
12k_HELIOS_EAS_for_LDSC.sumstats.gz	CF_HELIOS12K	NA	NA	NA
