# TOTAL_GENES = 18870
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130      0.21913     0.018126     0.077728    0.0024099 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      83    -0.053586   -0.0035462     0.088321      0.72798 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     230    -0.035487    -0.003894      0.05523      0.73974 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.059558   -0.0021227      0.16819      0.63837 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.20095    0.0032707      0.43245      0.32108 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.13587   -0.0056769      0.13551      0.84198 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     0.011525   0.00033546      0.19266      0.47615 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181      0.02151    0.0020966     0.059201      0.35817 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114      0.18977     0.014705     0.080569    0.0092594 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     102   -0.0038217  -0.00028023     0.085415      0.51784 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      16   -0.0081612  -0.00023755       0.2228      0.51461 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66     0.032302    0.0019071     0.095539      0.36765 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      38     0.044811    0.0020089      0.12819      0.36333 AMIT_EGF_RESPONSE_120_MCF10A
