# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     126     0.066853    0.0055967      0.12687      0.29913 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      82     -0.06723   -0.0045461      0.14333      0.68048 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     218      0.17694     0.019433     0.087009     0.021008 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      22     -0.11142   -0.0039091       0.2897      0.64974 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.30043   -0.0050273      0.69394      0.66746 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32    -0.096753   -0.0040928      0.22646       0.6654 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      15      -0.2969   -0.0086029      0.37949      0.78299 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     174    -0.088634   -0.0087079     0.098888      0.81495 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     107     0.090403    0.0069781      0.13081      0.24476 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101     -0.16584    -0.012439      0.13446      0.89126 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      14      0.47078     0.013179      0.36837      0.10063 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.015901   0.00095777        0.151      0.45807 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      35       0.0947    0.0041892      0.21051      0.32641 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.29811    0.0070538      0.47269      0.26413 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.61771     -0.01601      0.34491      0.96334 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58      0.11333    0.0064497      0.18435      0.26935 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      20      0.52248     0.017479      0.28673     0.034221 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      35    -0.098932   -0.0043764      0.22347      0.67101 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      15     0.062626    0.0018146      0.28782      0.41388 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     154     0.086881    0.0080347      0.10668      0.20771 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      39     -0.11155   -0.0052085      0.20787      0.70424 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      39      0.20236    0.0094482      0.22851      0.18793 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      32     -0.19244   -0.0081405      0.23835      0.79027 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      57     0.048985    0.0027636      0.17531      0.38996 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      15     0.064565    0.0018708      0.37846      0.43227 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      53    -0.090133    -0.004904      0.19273      0.67998 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      26      -0.4983    -0.019003      0.26253      0.97115 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      33     -0.23257   -0.0099903      0.21826      0.85668 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      53     -0.33889    -0.018438      0.18896      0.96354 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      14     -0.13077   -0.0036606      0.41445      0.62381 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     198    -0.021505   -0.0022522     0.093427      0.59102 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      57     -0.22859    -0.012896      0.18005      0.89788 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      57     0.085017    0.0047964      0.16686       0.3052 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     165     -0.17918    -0.017147      0.10273      0.95943 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      70     0.027977    0.0017485      0.14754       0.4248 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      31      0.15635    0.0065097      0.21173      0.23014 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31     0.070838    0.0029494      0.22273      0.37523 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      47     0.053269    0.0027297      0.17664      0.38149 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.20419   -0.0094111      0.20102      0.84513 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      43      0.17207    0.0084349      0.19878      0.19335 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40      0.18963    0.0089664      0.20005      0.17159 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      51      0.20372     0.010873      0.18396      0.13408 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     145     -0.15244    -0.013683       0.1105      0.91613 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      43    -0.078484   -0.0038473       0.1909       0.6595 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.48098     0.010797       0.4739      0.15507 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    -0.061769   -0.0031987      0.19116       0.6267 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      17       0.2212     0.006823       0.3148      0.24114 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     112      0.12228    0.0096556      0.13313      0.17917 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.086289    0.0030953      0.30136      0.38731 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      43      0.13023    0.0063841      0.21647      0.27372 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.10085    0.0036177      0.26886      0.35379 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     394    -0.022491   -0.0033043     0.069974      0.62605 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      76      0.17237     0.011223      0.15502       0.1331 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.36761     0.014805      0.24287      0.06507 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      63      0.20777     0.012321      0.16165     0.099353 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3       1.4427     0.018702      0.76703     0.029997 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET       9      0.45956     0.010316       0.4977      0.17792 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.10834    0.0021449       0.5692      0.42452 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      -0.1512   -0.0042327      0.36047      0.66255 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     155   -0.0096414   -0.0008945      0.10856      0.53538 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      44      0.12947      0.00642      0.20184      0.26062 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      36     -0.07808   -0.0035028      0.21542      0.64149 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      0.52909     0.014273      0.34726     0.063815 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      31      -0.4286    -0.017845       0.2433      0.96092 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.57833      0.01224      0.42595     0.087286 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     139     0.027302    0.0023998      0.11192      0.40364 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      17     -0.12468   -0.0038458      0.33217       0.6463 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.26812    0.0060187      0.44784       0.2747 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12     -0.20688    -0.005362       0.3608      0.71681 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      27      0.24853    0.0096582      0.25289      0.16287 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     -0.50095      -0.0159      0.29163      0.95707 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.21777   -0.0060964      0.31966      0.75214 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      17     -0.81335    -0.025088      0.29201      0.99732 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54      0.20977      0.01152      0.17554      0.11604 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      21     -0.19072   -0.0065377      0.31941      0.72478 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      25       0.1312    0.0049065      0.23229       0.2861 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      29     -0.19238   -0.0077478       0.2523      0.77712 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     -0.66522     -0.01574      0.34718      0.97231 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15       0.1611     0.004668      0.33612      0.31587 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      14     0.052593    0.0014723      0.34068      0.43866 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      37     -0.34926    -0.015884      0.20714       0.9541 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     354   -0.0039213  -0.00054671     0.069939      0.52236 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     261     0.014731    0.0017682     0.076865      0.42401 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     124      0.26553     0.022053      0.11183    0.0087973 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      59     -0.19326    -0.011092      0.17072      0.87119 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      90     0.037127    0.0026295      0.14551      0.39931 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      -0.5002   -0.0083702      0.60704      0.79502 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      74     0.049104     0.003155      0.16224      0.38108 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     -0.97971    -0.024313      0.45877      0.98363 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      28     -0.32901     -0.01302      0.24643      0.90906 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50    -0.081889   -0.0043278      0.18758      0.66878 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      51    -0.043781   -0.0023368      0.19211      0.59013 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.93265     0.018465      0.54483     0.043474 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
