ancestry	run_label_raw	run_relative_path	run_key	canonical_label_auto	canonical_label_status_auto	canonical_label_final	canonical_label_status_final	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	17276	0.097951	0.17851	0.010668	2.3698e-20	Brain_Cortex	COVAR	True	2.3698e-20	54	0.000925925925925926	3.19923e-19	True	True	4.0	0.097951	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	17276	0.098627	0.18159	0.010286	5.1046e-22	Brain_Frontal_Cortex_BA9	COVAR	True	5.1046e-22	54	0.000925925925925926	9.18828e-21	True	True	3.0	0.098627	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	17276	0.088975	0.15059	0.011878	3.6023e-14	Brain_Hippocampus	COVAR	True	3.6023e-14	54	0.000925925925925926	3.2420699999999997e-13	True	True	6.0	0.088975	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	17276	0.088879	0.15288	0.012103	1.0905e-13	Brain_Hypothalamus	COVAR	True	1.0905e-13	54	0.000925925925925926	7.360875e-13	True	True	8.0	0.088879	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	17276	0.08462	0.14673	0.011342	4.5186e-14	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	4.5186e-14	54	0.000925925925925926	3.4857771428571427e-13	True	True	7.0	0.08462	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	17276	0.074046	0.12594	0.011816	1.8882e-10	Brain_Putamen_basal_ganglia	COVAR	True	1.8882e-10	54	0.000925925925925926	9.269345454545455e-10	True	True	11.0	0.074046	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	17276	0.055611	0.099894	0.012933	8.5876e-06	Brain_Spinal_cord_cervical_c-1	COVAR	True	8.5876e-06	54	0.000925925925925926	3.567156923076923e-05	True	True	13.0	0.055611	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	17276	0.054535	0.093832	0.012815	1.049e-05	Brain_Substantia_nigra	COVAR	True	1.049e-05	54	0.000925925925925926	4.046142857142857e-05	True	True	14.0	0.054535	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	17276	0.066811	0.12445	0.013416	3.215e-07	Pituitary	COVAR	True	3.215e-07	54	0.000925925925925926	1.4467500000000002e-06	True	True	12.0	0.066811	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Testis	COVAR	17276	0.028979	0.049982	0.0083204	0.00024867	Testis	COVAR	True	0.00024867	54	0.000925925925925926	0.0008952119999999999	True	True	15.0	0.028979	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	17202	0.07193	0.12239	0.0098866	1.8053e-13	Brain_Amygdala	COVAR	True	1.8053e-13	54	0.000925925925925926	1.08318e-12	True	True	9.0	0.07193	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	17202	0.07507	0.13242	0.0091278	1.0561e-16	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	1.0561e-16	54	0.000925925925925926	1.140588e-15	True	True	5.0	0.07507	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	17202	0.069202	0.11936	0.0099427	1.7668e-12	Brain_Caudate_basal_ganglia	COVAR	True	1.7668e-12	54	0.000925925925925926	9.540719999999999e-12	True	True	10.0	0.069202	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	17202	0.076435	0.15321	0.0077091	2.0893e-23	Brain_Cerebellar_Hemisphere	COVAR	True	2.0893e-23	54	0.000925925925925926	5.64111e-22	True	True	2.0	0.076435	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	17202	0.079264	0.15716	0.0079503	1.2063e-23	Brain_Cerebellum	COVAR	True	1.2063e-23	54	0.000925925925925926	5.64111e-22	True	True	1.0	0.079264	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	17202	0.084352	0.1536	0.0090312	5.4286e-21	Brain_Cortex	COVAR	True	5.4286e-21	54	0.000925925925925926	7.328609999999999e-20	True	True	4.0	0.084352	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	17202	0.081563	0.15005	0.0087148	4.5366e-21	Brain_Frontal_Cortex_BA9	COVAR	True	4.5366e-21	54	0.000925925925925926	7.328609999999999e-20	True	True	3.0	0.081563	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	17202	0.077899	0.13174	0.010066	5.3167e-15	Brain_Hippocampus	COVAR	True	5.3167e-15	54	0.000925925925925926	3.5887725e-14	True	True	8.0	0.077899	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	17202	0.079145	0.136	0.010222	5.1469e-15	Brain_Hypothalamus	COVAR	True	5.1469e-15	54	0.000925925925925926	3.5887725e-14	True	True	7.0	0.079145	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	17202	0.07455	0.12916	0.0096058	4.4679e-15	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	4.4679e-15	54	0.000925925925925926	3.5887725e-14	True	True	6.0	0.07455	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	17202	0.065874	0.11196	0.010011	2.4207e-11	Brain_Putamen_basal_ganglia	COVAR	True	2.4207e-11	54	0.000925925925925926	1.1883436363636363e-10	True	True	11.0	0.065874	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	17202	0.056492	0.10139	0.010916	1.1529e-07	Brain_Spinal_cord_cervical_c-1	COVAR	True	1.1529e-07	54	0.000925925925925926	4.4469e-07	True	True	14.0	0.056492	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	17202	0.056512	0.097157	0.010834	9.2538e-08	Brain_Substantia_nigra	COVAR	True	9.2538e-08	54	0.000925925925925926	3.843886153846154e-07	True	True	13.0	0.056512	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	17202	0.065952	0.12271	0.01132	2.8882e-09	Pituitary	COVAR	True	2.8882e-09	54	0.000925925925925926	1.29969e-08	True	True	12.0	0.065952	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	17002	0.053405	0.090639	0.009907	3.5616e-08	Brain_Amygdala	COVAR	True	3.5616e-08	54	0.000925925925925926	2.40408e-07	True	True	8.0	0.053405	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	17002	0.061271	0.10782	0.0091208	9.5531e-12	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	9.5531e-12	54	0.000925925925925926	1.0317348e-10	True	True	5.0	0.061271	True	True	True
