# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     129     -0.16431    -0.013719      0.14771      0.86702 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.18049    -0.012176      0.17243      0.85238 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     228     -0.10511    -0.011635      0.10186      0.84892 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      23      0.20074    0.0070979      0.32214      0.26659 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     0.055553   0.00091629      0.81524      0.47284 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.34571    -0.014638       0.2538      0.91342 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     -0.49373    -0.014563      0.37868      0.90384 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     179    -0.062009   -0.0060905      0.11587      0.70373 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     106     -0.29822    -0.022586      0.15876      0.96983 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101   -0.0066591  -0.00049235      0.16437      0.51616 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18       0.3689     0.011541      0.35801      0.15142 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      64     0.024355    0.0014349      0.17736      0.44539 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      38      0.26696     0.012128      0.24041      0.13342 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.48859    -0.011395      0.53811      0.81804 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     0.083323    0.0021287      0.42127      0.42161 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58   -0.0025449  -0.00014275      0.21184      0.50479 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    -0.064536   -0.0021805      0.34895      0.57336 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41     0.010894   0.00051403      0.25995      0.48329 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      16      0.49915     0.014723      0.43382      0.12495 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     157       0.1474     0.013566      0.12352      0.11638 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      42      -0.1225     -0.00585      0.24394      0.69222 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      43      0.28171     0.013612      0.25944      0.13879 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      36    -0.027436   -0.0012132      0.28153      0.53882 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      62     -0.13814   -0.0080111      0.20628      0.74847 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.41255     0.012169      0.41023       0.1573 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55     -0.13451   -0.0073481      0.22323      0.72659 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      29     -0.27571    -0.010945       0.2758      0.84125 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34       0.2198    0.0094464      0.26919       0.2071 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      54      -0.0746   -0.0040383      0.22494      0.62992 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      15     -0.44251    -0.012638      0.43173       0.8473 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     203    -0.014275   -0.0014921       0.1063      0.55341 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     -0.13455   -0.0078024      0.21451      0.73474 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      60       -0.308    -0.017572       0.2026      0.93577 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171     -0.11344    -0.010892      0.11598      0.83598 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      71     0.039546    0.0024535      0.17779      0.41199 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33      -0.3868    -0.016377      0.24296       0.9443 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31      -0.5779    -0.023717      0.28061      0.98027 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      48    -0.099224   -0.0050649      0.20622      0.68479 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      37      0.04541    0.0020357      0.23646      0.42386 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      44    -0.017384  -0.00084967      0.20856      0.53321 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      39    -0.089348    -0.004112      0.23148      0.65025 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      52     -0.10877   -0.0057784      0.21811      0.69101 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     149      0.41657     0.037361      0.12749   0.00054368 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45      0.21586     0.010669      0.23591       0.1801 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.28384    0.0062805       0.4551      0.26642 AUJLA_IL22_AND_IL17A_SIGNALING
