# MEAN_SAMPLE_SIZE = 55413
# TOTAL_GENES = 18952
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131     0.038611    0.0031991      0.11958      0.37339 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.19053    -0.012657      0.12538      0.93569 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231    -0.061534   -0.0067522     0.080147      0.77868 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24      -0.2351   -0.0083613      0.24638      0.83001 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.12652    0.0020548      0.65624      0.42356 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33    -0.019799  -0.00082549      0.22122      0.53566 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     -0.18747    -0.005445      0.34049      0.70904 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181     0.065032    0.0063251     0.088986      0.23245 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     116     -0.25949    -0.020239      0.12235      0.98303 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104     -0.16053    -0.011859      0.12123      0.90726 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      0.19826    0.0061073      0.30091      0.25499 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.045208    0.0026431      0.14631      0.37866 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     0.086443    0.0039672      0.20098      0.33356 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.18432   -0.0042329       0.4077       0.6744 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.34269   -0.0086205      0.33606      0.84606 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     0.045591    0.0025399      0.16671      0.39224 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21     -0.28961   -0.0096354      0.25817      0.86902 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42      0.15685     0.007376      0.21645      0.23433 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17     -0.22496   -0.0067348      0.29084      0.78038 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161   -0.0083806  -0.00076917     0.098831      0.53379 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43    -0.070927   -0.0033747      0.17706      0.65563 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44    -0.038362   -0.0018463      0.20286        0.575 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     -0.21241   -0.0093762      0.21388      0.83967 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63      -0.2121    -0.012209      0.15794      0.91035 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.18247    0.0052997      0.32817       0.2891 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55    -0.004754  -0.00025574      0.16967      0.51118 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30     -0.41872    -0.016647      0.22735      0.96724 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34      0.12058    0.0051027      0.20045      0.27375 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56    -0.071256   -0.0038677      0.19227      0.64453 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.21437   -0.0062262      0.33618      0.73815 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204      0.19432     0.020053     0.083598     0.010055 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     -0.19233    -0.010983      0.17155      0.86888 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     -0.22772    -0.012899      0.16245      0.91951 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     172     -0.21393    -0.020288     0.096081      0.98701 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73      0.10664    0.0066059      0.13117      0.20812 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33     0.059355    0.0024747      0.19267      0.37902 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32     -0.37767    -0.015506      0.21672       0.9593 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     -0.16059   -0.0081554      0.17955      0.81444 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38    -0.027003   -0.0012079       0.2021      0.55314 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45     0.001566    7.622e-05      0.17764      0.49648 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40    -0.034636   -0.0015896      0.19044      0.57216 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     -0.28886    -0.015255      0.17465      0.95092 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150      0.16414     0.014545     0.098652     0.048086 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45      0.27325     0.013299      0.17529     0.059527 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.19778    0.0043091      0.40439       0.3124 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    -0.074343   -0.0037368      0.16348      0.67535 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18      0.12214    0.0037624      0.29494       0.3394 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116      0.11553    0.0090111      0.11872      0.16525 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.018951   0.00065982      0.26582      0.47158 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46      0.35108     0.017276      0.17332     0.021409 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23    -0.042149   -0.0014675      0.26357      0.56352 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     412     0.075948     0.011076     0.062478      0.11208 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      82     -0.13337    -0.008754      0.13722      0.83445 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29    -0.031671    -0.001238      0.23787      0.55296 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64    -0.040153   -0.0023295      0.15489      0.60227 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3       1.2763     0.016057      0.85488     0.067728 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.31681   -0.0072756      0.37506      0.80085 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7     0.083238    0.0015995      0.53619      0.43832 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.11016    0.0029931      0.35479      0.37809 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     163     0.057873    0.0053441     0.088358      0.25625 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51    -0.024564   -0.0012726      0.16706      0.55845 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38     -0.12891   -0.0057667       0.2184      0.72249 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13     -0.35518   -0.0092993       0.3458      0.84781 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32      0.28228      0.01159      0.21326     0.092823 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.51923     0.010666      0.40344     0.099052 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     152      0.07147     0.006375      0.10055      0.23862 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18     0.087168    0.0026852      0.27837      0.37709 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.45116    0.0098296      0.45129      0.15873 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.15428    0.0038811      0.32248      0.31618 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30      0.21844    0.0086844       0.2224        0.163 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18    -0.062633   -0.0019294      0.27322      0.59066 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.29867   -0.0081147      0.31866      0.82568 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     -0.50003    -0.015403      0.30354      0.95025 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     0.099198    0.0052876      0.16755      0.27691 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23       0.2314    0.0080565      0.23986      0.16734 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28      0.10778    0.0041397      0.23132      0.32064 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     0.097719     0.003949      0.24733      0.34639 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      -0.1522   -0.0034954      0.36811      0.66037 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     -0.21389   -0.0060151      0.27697      0.78001 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.39555    -0.011124      0.29345      0.91115 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.24803     -0.01124      0.18653      0.90818 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     366    -0.020024   -0.0027557     0.065683      0.61976 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     273     0.020425    0.0024338     0.071307      0.38727 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     138     0.076364    0.0064927     0.099008      0.22027 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      69      0.25237       0.0152      0.15369     0.050298 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98       0.1236    0.0088655      0.12926      0.16949 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.16326   -0.0026516      0.49099      0.63025 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77      0.29665     0.018871      0.15339     0.026566 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11      0.13293    0.0032018      0.39852      0.36936 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31    -0.017744  -0.00071707      0.22888       0.5309 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     0.072919    0.0037406      0.17919      0.34203 BECKER_TAMOXIFEN_RESISTANCE_DN
