# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     129     -0.14879    -0.012423      0.14615      0.84567 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.14707   -0.0099215      0.17062      0.80565 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     228    -0.065195   -0.0072172      0.10079      0.74113 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      23      0.31851     0.011262      0.31874      0.15883 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.54922    0.0090588      0.80664      0.24798 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.15179   -0.0064268      0.25114      0.72721 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     -0.21655   -0.0063875      0.37471      0.71834 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     179    0.0069535   0.00068297      0.11465      0.47582 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     106     -0.48441    -0.036687      0.15705      0.99898 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101     0.056939    0.0042099      0.16264      0.36314 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      0.27402    0.0085723      0.35425      0.21961 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      64     -0.07513   -0.0044263      0.17549      0.66572 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      38      0.21736    0.0098744      0.23788      0.18044 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.12244   -0.0028558      0.53246      0.59094 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12       0.0204   0.00052117      0.41683      0.48048 AMIT_EGF_RESPONSE_20_MCF10A
