# MEAN_SAMPLE_SIZE = 24836
# TOTAL_GENES = 19173
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131    0.0071511   0.00058909     0.085865      0.46681 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84    0.0057628   0.00038062     0.093337      0.47538 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231    0.0014271    0.0001557     0.058437      0.49026 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24     -0.13204   -0.0046687      0.17957      0.76892 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5    -0.017499  -0.00028256      0.46131      0.51513 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      0.12633    0.0052366      0.14115      0.18541 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16    -0.039273   -0.0011341      0.23356      0.56677 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     182    -0.015266   -0.0014803     0.063565       0.5949 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     115    -0.075783   -0.0058517     0.084925      0.81389 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104       0.1167    0.0085718     0.085361     0.085802 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      0.06519    0.0019966      0.23483      0.39066 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66     0.058929    0.0034516      0.09801      0.27384 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40    -0.010112  -0.00046141      0.13883      0.52903 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11      0.16186    0.0038759      0.30619      0.29854 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12      0.30919    0.0077331      0.23335     0.092594 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     0.087043    0.0048212      0.11774      0.22986 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    -0.038596   -0.0012767      0.19116         0.58 AMIT_EGF_RESPONSE_240_MCF10A
