file	type	sample_prev	population_prev	name
MDD_EUR.aligned.tsv.gz	cc	0.5	0.15	MDD
EA_EUR.aligned.tsv.gz	quant	NA	NA	EA
SCZ_EUR.aligned.tsv.gz	cc	0.5	0.01	SCZ
CF_EUR.aligned.tsv.gz	quant	NA	NA	CF
