ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_LIPOXYGENASE_PATHWAY	SET	10	2.0709	0.04756	0.39249	6.6643e-08	GOBP_LIPOXYGENASE_PATHWAY	SET	True	6.6643e-08	17009	2.9396202010700218e-06	0.00011335307869999999	True	True	10.0	2.0709	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_MAMMARY_GLAND_EPITHELIA...2	SET	25	1.3221	0.047989	0.26181	2.2317e-07	GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	SET	True	2.2317e-07	17009	2.9396202010700218e-06	0.00023724365812500002	True	True	16.0	1.3221	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_NEGATIVE_REGULATION_OF_...492	SET	17	1.1667	0.034929	0.23668	4.1603e-07	GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	SET	True	4.1603e-07	17009	2.9396202010700218e-06	0.00033696448904761906	True	True	21.0	1.1667	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_NEUROGENESIS	SET	1570	0.18614	0.05131	0.0333	1.1526e-08	GOBP_NEUROGENESIS	SET	True	1.1526e-08	17009	2.9396202010700218e-06	3.2932258833333336e-05	True	True	5.0	0.18614	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_NEURON_DEVELOPMENT	SET	1038	0.20538	0.046732	0.040515	2.017e-07	GOBP_NEURON_DEVELOPMENT	SET	True	2.017e-07	17009	2.9396202010700218e-06	0.00022871435333333333	True	True	15.0	0.20538	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_REGULATION_OF_MAMMARY_G...	SET	15	1.6075	0.045208	0.32038	2.6413e-07	GOBP_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	SET	True	2.6413e-07	17009	2.9396202010700218e-06	0.0002642698335294118	True	True	17.0	1.6075	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_REGULATION_OF_OXIDATIVE...3	SET	26	1.0572	0.039132	0.1972	4.1857e-08	GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	SET	True	4.1857e-08	17009	2.9396202010700218e-06	7.910507922222223e-05	True	True	9.0	1.0572	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_RESPONSE_TO_FOLIC_ACID	SET	11	2.5053	0.06034	0.40563	3.3543e-10	GOBP_RESPONSE_TO_FOLIC_ACID	SET	True	3.3543e-10	17009	2.9396202010700218e-06	1.9017762900000001e-06	True	True	3.0	2.5053	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_RESPONSE_TO_HYDROPEROXI...	SET	18	1.7259	0.053167	0.30884	1.1617e-08	GOBP_RESPONSE_TO_HYDROPEROXIDE	SET	True	1.1617e-08	17009	2.9396202010700218e-06	3.2932258833333336e-05	True	True	6.0	1.7259	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_RESPONSE_TO_SELENIUM_ION	SET	9	1.5981	0.034819	0.35197	2.8242e-06	GOBP_RESPONSE_TO_SELENIUM_ION	SET	True	2.8242e-06	17009	2.9396202010700218e-06	0.00160122726	True	True	30.0	1.5981	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_RESPONSE_TO_SYMBIONT	SET	5	1.8839	0.030596	0.39902	1.1806e-06	GOBP_RESPONSE_TO_SYMBIONT	SET	True	1.1806e-06	17009	2.9396202010700218e-06	0.0008367010583333333	True	True	24.0	1.8839	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_RESPONSE_TO_VITAMIN_E	SET	10	1.72	0.039499	0.34437	2.976e-07	GOBP_RESPONSE_TO_VITAMIN_E	SET	True	2.976e-07	17009	2.9396202010700218e-06	0.00026641465263157896	True	True	19.0	1.72	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_SYNAPSE_ORGANIZATION	SET	424	0.29615	0.0438	0.062841	1.2313e-06	GOBP_SYNAPSE_ORGANIZATION	SET	True	1.2313e-06	17009	2.9396202010700218e-06	0.000837727268	True	True	25.0	0.29615	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOCC_LEWY_BODY	SET	8	2.1845	0.044874	0.38907	9.9922e-09	GOCC_LEWY_BODY	SET	True	9.9922e-09	17009	2.9396202010700218e-06	3.2932258833333336e-05	True	True	4.0	2.1845	True	True	True
