task	variable	loading_on_stored_g	correlation_with_stored_g	loading_higher_performance	correlation_higher_performance
Stroop box	DC7R8_Stroopbox_Avg_inv	-0.5792946318075856	-0.8333314323060524	0.5792946318075856	0.8333314323060524
Stroop ink	DC7R10_Stroopink_Avg_inv	-0.49962623327454664	-0.7187262262265346	0.49962623327454664	0.7187262262265346
Reaction time	DC7R6_React_Avg_inv	-0.4915625524661548	-0.7071263972124999	0.4915625524661548	0.7071263972124999
Quiz score	DC7R5_Quiz_Score	-0.3191607610157061	-0.459121627423349	0.3191607610157061	0.459121627423349
Working memory	DC7R12_Wm_Score	-0.23005210233657178	-0.33093634468346117	0.23005210233657178	0.33093634468346117
Pairing guesses	DC7R4_Pairing7_Guesses_inv	-0.13553616651713257	-0.19497254345438034	0.13553616651713257	0.19497254345438034
