ancestry	run_relative_path	run_label_raw	canonical_label_final	canonical_label_status_final	canonical_label_reason_final	run_dir
EUR	EUR/PLEIO	PLEIO	FOURTRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO
EUR	EUR/FUMA_PLEIO_MDD_EA_CF	FUMA_PLEIO_MDD_EA_CF	MDD_3TRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF
EUR	EUR/FUMA_PLEIO_SCZ_EA_CF	FUMA_PLEIO_SCZ_EA_CF	SCZ_3TRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF
EAS	EAS/FUMA_EAS_4traitPLEIO	FUMA_EAS_4traitPLEIO	FOURTRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_4traitPLEIO
EAS	EAS/FUMA_EAS_3traitPLEIO_MDD_EA_CF	FUMA_EAS_3traitPLEIO_MDD_EA_CF	MDD_3TRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_MDD_EA_CF
EAS	EAS/FUMA_EAS_3traitPLEIO_SCZ_EA_CF	FUMA_EAS_3traitPLEIO_SCZ_EA_CF	SCZ_3TRAIT	explicit_manifest	user-reviewed explicit run manifest	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_SCZ_EA_CF
