# TOTAL_GENES = 18823
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131    -0.048009   -0.0039913       0.1003      0.68391 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     0.017789    0.0011857      0.11573      0.43892 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.093322     0.010275     0.067637      0.08384 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24     0.014518   0.00051808      0.21662      0.47328 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.48461   -0.0078974      0.55998      0.80658 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      -0.2535    -0.010605      0.19221      0.90639 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     0.017138   0.00049946      0.27968      0.47557 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     180    -0.029975   -0.0029172     0.079454      0.64701 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114     -0.15937    -0.012365      0.10575      0.93409 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104    -0.063558   -0.0047114      0.10388      0.72967 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18     0.059701    0.0018453      0.26265       0.4101 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      64      -0.2306    -0.013424      0.12221      0.97041 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40    -0.030256   -0.0013933      0.16639      0.57214 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.32652   -0.0075243      0.38759      0.80023 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12      0.21156      0.00534      0.27007      0.21672 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     0.050531    0.0028247      0.13646      0.35558 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21      0.14501    0.0048411      0.22883      0.26313 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42     -0.18742   -0.0088437       0.1716      0.86263 AMIT_EGF_RESPONSE_40_HELA
