file	trait	N	sample_prev	population_prev
MDD_EUR_LDSC.sumstats.gz	MDD_EUR	NA	0.5	0.15
EA4_Edu.qc.txt_noINFO.gz	Edu_EUR	NA	NA	NA
SCZ_EUR_for_LDSC.neff.sumstats.gz	SCZ_EUR	NA	0.5	0.01
Cognition_MTAG.qc.txt_noINFO.gz	G_COGENT	NA	NA	NA
