# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     126     -0.13148    -0.011007      0.12428      0.85494 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      82    0.0013131   8.8794e-05      0.14041      0.49627 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     218     0.089678    0.0098496     0.085241      0.14639 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      22     0.022847   0.00080156      0.28378      0.46792 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.51372   -0.0085965      0.67977      0.77509 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32     0.032959    0.0013942      0.22183      0.44095 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      15     -0.27539   -0.0079796      0.37175      0.77059 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     174       -0.198    -0.019453     0.096859      0.97953 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     107     -0.07752   -0.0059837      0.12814      0.72739 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101     -0.02965   -0.0022239      0.13173      0.58904 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      14      0.41986     0.011753      0.36086      0.12232 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.063439    0.0038211      0.14792      0.33401 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      35     0.087948    0.0038905      0.20621      0.33488 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.61941     0.014656      0.46302     0.090496 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.17493   -0.0045339       0.3379      0.69766 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58    -0.037196   -0.0021168      0.18059      0.58159 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      20      0.21831    0.0073032       0.2809      0.21853 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      35     0.094839    0.0041953      0.21891      0.33242 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      15      0.19829    0.0057456      0.28194      0.24094 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     154   0.00013846   1.2804e-05       0.1045      0.49947 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      39      -0.5733    -0.026767      0.20358      0.99757 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      39    0.0016189   7.5586e-05      0.22385      0.49711 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      32     -0.21484    -0.009088      0.23348      0.82125 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      57      0.17465    0.0098534      0.17172      0.15457 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      15      0.64228      0.01861       0.3707      0.04159 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      53     -0.34367    -0.018699      0.18878      0.96565 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      26     -0.35858    -0.013675      0.25718      0.91837 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      33     -0.43315    -0.018607      0.21379      0.97861 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      53     -0.23768    -0.012932      0.18511      0.90042 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      14       0.1338    0.0037455      0.40599      0.37087 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     198    -0.047355   -0.0049596     0.091519      0.69757 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      57      -0.1467   -0.0082761      0.17637      0.79721 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      57    -0.059358   -0.0033488      0.16346      0.64175 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     165     -0.16484    -0.015774      0.10063      0.94928 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      70    -0.096015   -0.0060008      0.14452      0.74676 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      31      0.19188    0.0079891      0.20741      0.17746 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31     -0.10495   -0.0043696      0.21819      0.68474 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      47    -0.069013   -0.0035365      0.17303      0.65499 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38      -0.5189    -0.023916      0.19688       0.9958 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      43     -0.10849   -0.0053182      0.19472      0.71129 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40      0.44143     0.020872      0.19594      0.01214 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      51     -0.19214    -0.010255      0.18021      0.85682 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     145      0.10154    0.0091146      0.10825      0.17411 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
