ancestry	pleio_model	result_type	constituent_trait	single_trait_available	n_pleio_sig_bonf	n_single_sig_bonf	n_exact_overlap_bonf	jaccard_bonf	fraction_pleio_sig_shared_bonf	fraction_single_sig_recovered_bonf	overlap_terms_bonf	n_pleio_sig_fdr	n_single_sig_fdr	n_exact_overlap_fdr	jaccard_fdr	fraction_pleio_sig_shared_fdr	fraction_single_sig_recovered_fdr	overlap_terms_fdr
EAS	MDD_3TRAIT	gtex_v8_specific_tissue	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	MDD_3TRAIT	gtex_v8_specific_tissue	MDD	True	5.0	0.0	0.0	0.0	0.0	NA		9.0	0.0	0.0	0.0	0.0	NA	
EAS	SCZ_3TRAIT	gtex_v8_specific_tissue	EA	True	5.0	2.0	2.0	0.4	0.4	1.0	Brain_Cerebellar_Hemisphere;Brain_Cerebellum	8.0	2.0	2.0	0.25	0.25	1.0	Brain_Cerebellar_Hemisphere;Brain_Cerebellum
EAS	SCZ_3TRAIT	gtex_v8_specific_tissue	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	SCZ_3TRAIT	gtex_v8_specific_tissue	SCZ	True	5.0	5.0	5.0	1.0	1.0	1.0	Brain_Anterior_cingulate_cor...;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Cortex;Brain_Frontal_Cortex_BA9	8.0	9.0	7.0	0.7	0.875	0.7777777777777778	Brain_Anterior_cingulate_cor...;Brain_Caudate_basal_ganglia;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Cortex;Brain_Frontal_Cortex_BA9;Brain_Nucleus_accumbens_basa...
EUR	FOURTRAIT	gtex_v8_general_tissue	EA	True	4.0	4.0	4.0	1.0	1.0	1.0	Brain;Ovary;Pituitary;Testis	4.0	5.0	4.0	0.8	1.0	0.8	Brain;Ovary;Pituitary;Testis
EUR	FOURTRAIT	gtex_v8_general_tissue	CF	True	4.0	3.0	3.0	0.75	0.75	1.0	Brain;Ovary;Pituitary	4.0	4.0	3.0	0.6	0.75	0.75	Brain;Ovary;Pituitary
EUR	FOURTRAIT	gtex_v8_general_tissue	MDD	True	4.0	2.0	2.0	0.5	0.5	1.0	Brain;Pituitary	4.0	3.0	3.0	0.75	0.75	1.0	Brain;Ovary;Pituitary
EUR	FOURTRAIT	gtex_v8_general_tissue	SCZ	True	4.0	2.0	2.0	0.5	0.5	1.0	Brain;Pituitary	4.0	2.0	2.0	0.5	0.5	1.0	Brain;Pituitary
EUR	MDD_3TRAIT	gtex_v8_general_tissue	EA	True	3.0	4.0	3.0	0.75	1.0	0.75	Brain;Ovary;Pituitary	5.0	5.0	4.0	0.6666666666666666	0.8	0.8	Brain;Ovary;Pituitary;Testis
EUR	MDD_3TRAIT	gtex_v8_general_tissue	CF	True	3.0	3.0	3.0	1.0	1.0	1.0	Brain;Ovary;Pituitary	5.0	4.0	4.0	0.8	0.8	1.0	Brain;Ovary;Pituitary;Uterus
EUR	MDD_3TRAIT	gtex_v8_general_tissue	MDD	True	3.0	2.0	2.0	0.6666666666666666	0.6666666666666666	1.0	Brain;Pituitary	5.0	3.0	3.0	0.6	0.6	1.0	Brain;Ovary;Pituitary
EUR	SCZ_3TRAIT	gtex_v8_general_tissue	EA	True	2.0	4.0	2.0	0.5	1.0	0.5	Brain;Pituitary	2.0	5.0	2.0	0.4	1.0	0.4	Brain;Pituitary
EUR	SCZ_3TRAIT	gtex_v8_general_tissue	CF	True	2.0	3.0	2.0	0.6666666666666666	1.0	0.6666666666666666	Brain;Pituitary	2.0	4.0	2.0	0.5	1.0	0.5	Brain;Pituitary
EUR	SCZ_3TRAIT	gtex_v8_general_tissue	SCZ	True	2.0	2.0	2.0	1.0	1.0	1.0	Brain;Pituitary	2.0	2.0	2.0	1.0	1.0	1.0	Brain;Pituitary
EAS	FOURTRAIT	gtex_v8_general_tissue	EA	True	1.0	0.0	0.0	0.0	0.0	NA		1.0	0.0	0.0	0.0	0.0	NA	
EAS	FOURTRAIT	gtex_v8_general_tissue	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	FOURTRAIT	gtex_v8_general_tissue	MDD	True	1.0	0.0	0.0	0.0	0.0	NA		1.0	0.0	0.0	0.0	0.0	NA	
EAS	FOURTRAIT	gtex_v8_general_tissue	SCZ	True	1.0	1.0	1.0	1.0	1.0	1.0	Brain	1.0	1.0	1.0	1.0	1.0	1.0	Brain
EAS	MDD_3TRAIT	gtex_v8_general_tissue	EA	True	1.0	0.0	0.0	0.0	0.0	NA		1.0	0.0	0.0	0.0	0.0	NA	
EAS	MDD_3TRAIT	gtex_v8_general_tissue	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	MDD_3TRAIT	gtex_v8_general_tissue	MDD	True	1.0	0.0	0.0	0.0	0.0	NA		1.0	0.0	0.0	0.0	0.0	NA	
EAS	SCZ_3TRAIT	gtex_v8_general_tissue	EA	True	1.0	0.0	0.0	0.0	0.0	NA		1.0	0.0	0.0	0.0	0.0	NA	
EAS	SCZ_3TRAIT	gtex_v8_general_tissue	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	SCZ_3TRAIT	gtex_v8_general_tissue	SCZ	True	1.0	1.0	1.0	1.0	1.0	1.0	Brain	1.0	1.0	1.0	1.0	1.0	1.0	Brain
