ancestry	pleio_model	result_type	term	full_name	expected_constituent_traits	available_constituent_traits	missing_constituent_traits	comparison_complete	pleio_tested	pleio_n_genes	pleio_beta	pleio_beta_std	pleio_se	pleio_p	pleio_p_bh	pleio_bonf_threshold	pleio_bonf_sig_positive	pleio_fdr_sig_positive	ea_tested	ea_n_genes	ea_beta	ea_beta_std	ea_se	ea_p	ea_p_bh	ea_bonf_threshold	ea_bonf_sig_positive	ea_fdr_sig_positive	ea_same_beta_sign	cf_tested	cf_n_genes	cf_beta	cf_beta_std	cf_se	cf_p	cf_p_bh	cf_bonf_threshold	cf_bonf_sig_positive	cf_fdr_sig_positive	cf_same_beta_sign	mdd_tested	mdd_n_genes	mdd_beta	mdd_beta_std	mdd_se	mdd_p	mdd_p_bh	mdd_bonf_threshold	mdd_bonf_sig_positive	mdd_fdr_sig_positive	mdd_same_beta_sign	scz_tested	scz_n_genes	scz_beta	scz_beta_std	scz_se	scz_p	scz_p_bh	scz_bonf_threshold	scz_bonf_sig_positive	scz_fdr_sig_positive	scz_same_beta_sign	n_available_constituent_traits	n_missing_constituent_traits	n_constituent_bonf_sig	constituent_traits_bonf_sig	any_constituent_bonf_sig	classification_bonferroni	n_constituent_fdr_sig	constituent_traits_fdr_sig	any_constituent_fdr_sig	classification_fdr
EUR	FOURTRAIT	competitive_gene_set	GOCC_L_TYPE_VOLTAGE_GATED_CA...	GOCC_L_TYPE_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	12.0	2.3827	0.060812	0.5233	2.6599e-06	0.0010053239822222	2.9397930385700847e-06	True	True	True	12	1.1823	0.029741	0.41779	0.0023314	0.1559864284046692	2.9396202010700218e-06	False	False	True	True	12.0	0.99772	0.025184	0.35982	0.0027816	0.2093338619469026	2.9397930385700847e-06	False	False	True	True	12.0	0.68621	0.017465	0.35121	0.025368	0.8187076736242885	2.9397930385700847e-06	False	False	True	True	12.0	1.8006	0.045428	0.35521	2.0204e-07	0.00042953704	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	1	SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_NEURON_PROJECTION	GOCC_NEURON_PROJECTION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1247.0	0.26409	0.066362	0.045749	3.9733e-09	6.143444218181818e-06	2.9397930385700847e-06	True	True	True	1257	0.12464	0.031018	0.036749	0.00034813	0.0506097706837606	2.9396202010700218e-06	False	False	True	True	1255.0	0.15175	0.037857	0.031259	6.0807e-07	0.0007955426584615	2.9397930385700847e-06	True	True	True	True	1248.0	0.083969	0.021054	0.031137	0.003504	0.4382061176470588	2.9397930385700847e-06	False	False	True	True	1255.0	0.14815	0.036942	0.030996	8.8476e-07	0.001003199872	2.9397930385700847e-06	True	True	True	4	0	2	CF;SCZ	True	PLEIO_shared_with_available_constituent	2	CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_NEURON_TO_NEURON_SYNAPSE	GOCC_NEURON_TO_NEURON_SYNAPSE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	359.0	0.53008	0.073295	0.083264	9.9417e-11	5.4378828e-07	2.9397930385700847e-06	True	True	True	360	0.35258	0.048132	0.067895	1.046e-07	0.0001344925928571	2.9396202010700218e-06	True	True	True	True	360.0	0.24908	0.034116	0.056988	6.2278e-06	0.005034436032	2.9397930385700847e-06	False	True	True	True	359.0	0.19491	0.026877	0.0569	0.00030765	0.1319091885714285	2.9397930385700847e-06	False	False	True	True	360.0	0.32129	0.043986	0.056495	6.5707e-09	5.58772328e-05	2.9397930385700847e-06	True	True	True	4	0	2	EA;SCZ	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_POSTSYNAPSE	GOCC_POSTSYNAPSE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	619.0	0.44246	0.079755	0.064574	3.7691e-12	6.41048528e-08	2.9397930385700847e-06	True	True	True	622	0.26819	0.047782	0.051749	1.107e-07	0.0001344925928571	2.9396202010700218e-06	True	True	True	True	622.0	0.19137	0.03421	0.044168	7.4001e-06	0.005034436032	2.9397930385700847e-06	False	True	True	True	620.0	0.16951	0.030497	0.043729	5.3218e-05	0.0454819432	2.9397930385700847e-06	False	True	True	True	621.0	0.23681	0.04228	0.043833	3.3268e-08	0.0001457318331428	2.9397930385700847e-06	True	True	True	4	0	2	EA;SCZ	True	PLEIO_shared_with_available_constituent	4	EA;CF;MDD;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_POSTSYNAPTIC_MEMBRANE	GOCC_POSTSYNAPTIC_MEMBRANE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	257.0	0.64345	0.07549	0.10364	2.7393e-10	7.755459022222223e-07	2.9397930385700847e-06	True	True	True	257	0.34423	0.039814	0.083156	1.7477e-05	0.0063248147446808	2.9396202010700218e-06	False	True	True	True	257.0	0.30134	0.034971	0.070003	8.4054e-06	0.0054977752571428	2.9397930385700847e-06	False	True	True	True	257.0	0.21082	0.024667	0.069163	0.0011528	0.2516311794871795	2.9397930385700847e-06	False	False	True	True	257.0	0.3741	0.043394	0.070201	5.0032e-08	0.0001457318331428	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_POSTSYNAPTIC_SPECIALIZA...1	GOCC_POSTSYNAPTIC_SPECIALIZATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	341.0	0.53194	0.07172	0.085872	2.9913e-10	7.755459022222223e-07	2.9397930385700847e-06	True	True	True	342	0.33453	0.044533	0.06961	7.7693e-07	0.0005807612121739	2.9396202010700218e-06	True	True	True	True	342.0	0.23618	0.031546	0.058776	2.9426e-05	0.011639009488372	2.9397930385700847e-06	False	True	True	True	341.0	0.21605	0.02905	0.05859	0.00011365	0.0743445846153846	2.9397930385700847e-06	False	False	True	True	342.0	0.36195	0.048322	0.058226	2.6036e-10	4.4282028800000005e-06	2.9397930385700847e-06	True	True	True	4	0	2	EA;SCZ	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_SOMATODENDRITIC_COMPART...	GOCC_SOMATODENDRITIC_COMPARTMENT	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	782.0	0.31414	0.063352	0.057018	1.8268e-08	2.219301028571428e-05	2.9397930385700847e-06	True	True	True	791	0.13743	0.027484	0.04577	0.0013404	0.1162655807106599	2.9396202010700218e-06	False	False	True	True	789.0	0.17092	0.034254	0.038878	5.5371e-06	0.00470874984	2.9397930385700847e-06	False	True	True	True	782.0	0.13196	0.026542	0.038467	0.00030205	0.1319091885714285	2.9397930385700847e-06	False	False	True	True	788.0	0.19051	0.038139	0.038272	3.2476e-07	0.0004997659066666	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	2	CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_SYNAPSE	GOCC_SYNAPSE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1350.0	0.29173	0.076047	0.044151	2.0122e-11	1.71117488e-07	2.9397930385700847e-06	True	True	True	1371	0.16827	0.043593	0.03503	7.8532e-07	0.0005807612121739	2.9396202010700218e-06	True	True	True	True	1367.0	0.12307	0.03194	0.029647	1.6613e-05	0.0083104089411764	2.9397930385700847e-06	False	True	True	True	1354.0	0.12409	0.032308	0.02994	1.7108e-05	0.0240126793846153	2.9397930385700847e-06	False	True	True	True	1366.0	0.14049	0.036431	0.029554	1.0071e-06	0.0010705473	2.9397930385700847e-06	True	True	True	4	0	2	EA;SCZ	True	PLEIO_shared_with_available_constituent	4	EA;CF;MDD;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_SYNAPTIC_MEMBRANE	GOCC_SYNAPTIC_MEMBRANE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	362.0	0.5265	0.073098	0.085493	3.7581e-10	7.755459022222223e-07	2.9397930385700847e-06	True	True	True	363	0.25066	0.034357	0.069639	0.0001599	0.0294347146236559	2.9396202010700218e-06	False	True	True	True	363.0	0.24745	0.034031	0.058384	1.1317e-05	0.0058693061818181	2.9397930385700847e-06	False	True	True	True	363.0	0.21383	0.029648	0.057728	0.0001064	0.072386048	2.9397930385700847e-06	False	False	True	True	363.0	0.30894	0.042468	0.058336	5.9979e-08	0.0001457318331428	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOMF_VOLTAGE_GATED_MONOATOMI...2	GOMF_VOLTAGE_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	134.0	0.81964	0.069671	0.14935	2.0614e-08	2.3373527466666663e-05	2.9397930385700847e-06	True	True	True	135	0.38931	0.032741	0.11558	0.00037906	0.0528477995081967	2.9396202010700218e-06	False	False	True	True	134.0	0.44925	0.037771	0.10083	4.2128e-06	0.0039806279111111	2.9397930385700847e-06	False	True	True	True	135.0	0.29472	0.025075	0.10172	0.0018848	0.3249902383838384	2.9397930385700847e-06	False	False	True	True	135.0	0.48837	0.041192	0.098427	3.5261e-07	0.0004997659066666	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	2	CF;SCZ	True	PLEIO_shared_with_available_constituent
