# TOTAL_GENES = 18856
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130     0.034324    0.0028402     0.084584      0.34245 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.10369   -0.0069055      0.10048      0.84893 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231      0.06074    0.0066817     0.061573      0.16196 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24      -0.3956    -0.014105      0.19064        0.981 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5    -0.059114  -0.00096251      0.46999      0.55005 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      -0.1766   -0.0073815      0.16104      0.86359 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16    -0.063536   -0.0018501      0.23038      0.60864 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     180     -0.12349    -0.012008     0.065693      0.96993 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114   -0.0022003  -0.00017057     0.086851      0.51011 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104    -0.056507   -0.0041851     0.088426       0.7386 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      17       0.1471    0.0044149       0.2411       0.2709 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66     0.045321    0.0026767      0.10333      0.33047 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      39    -0.027153   -0.0012336      0.13698      0.57857 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11      0.49612      0.01198      0.30639     0.052709 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12       -0.114    -0.002875      0.25232      0.67429 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58    -0.021576   -0.0011948      0.11071      0.57725 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    -0.011849  -0.00039521       0.2055      0.52299 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41      0.13727    0.0063942      0.14533      0.17244 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17       0.1949    0.0058496      0.19249      0.15565 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     159   -0.0092459  -0.00084547      0.07052      0.55216 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     -0.12582   -0.0060018      0.12902      0.83526 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44    -0.031311   -0.0015108      0.13362      0.59263 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      36     -0.10772   -0.0047025      0.15093       0.7623 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      62    -0.088568   -0.0050704      0.11374       0.7819 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16     0.040305    0.0011736      0.21852      0.42683 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55    -0.071633   -0.0038632      0.12902      0.71062 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30     -0.39485    -0.015737      0.17121      0.98944 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     -0.16162   -0.0068568      0.13994      0.87592 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56    -0.055458   -0.0030179      0.12559       0.6706 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16    -0.097527   -0.0028398      0.24451        0.655 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204     -0.02432    -0.002516     0.061758      0.65313 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62      -0.1405   -0.0080433      0.12837      0.86313 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61    -0.098489   -0.0055929      0.11313      0.80801 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171     -0.12483    -0.011834       0.0648      0.97296 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      72     0.015603   0.00096235     0.095815      0.43532 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33       0.1169    0.0048862      0.13569      0.19449 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32     0.027291    0.0011233      0.14807      0.42689 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      48    0.0091393   0.00046054      0.12462      0.47077 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.10514   -0.0047153      0.15222      0.75512 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      44     0.024599    0.0011869      0.12952      0.42469 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     0.011386   0.00052386      0.13958      0.46749 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     0.019408    0.0010275      0.12614      0.43886 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150    -0.053768   -0.0047766     0.071792      0.77305 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45    -0.080292   -0.0039179      0.13181      0.72879 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.37455    0.0081811      0.28418      0.09376 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     0.058589    0.0029524      0.12433      0.31874 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     0.061726    0.0019063      0.20112      0.37945 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116     -0.12057   -0.0094279      0.08741       0.9161 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.48742    -0.017013       0.2054      0.99117 AZARE_STAT3_TARGETS
