ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_POSITIVE_REGULATION_OF_...145	SET	323	0.40687	0.053417	0.088346	2.0736e-06	GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	SET	True	2.0736e-06	17008	2.9397930385700847e-06	0.0008397092571428571	True	True	42.0	0.40687	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_POSITIVE_REGULATION_OF_...464	SET	1760	0.18489	0.054365	0.038474	7.7777e-07	GOBP_POSITIVE_REGULATION_OF_MACROMOLECULE_BIOSYNTHETIC_PROCESS	SET	True	7.7777e-07	17008	2.9397930385700847e-06	0.00038500280685714285	True	True	34.0	0.18489	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_POSITIVE_REGULATION_OF_...730	SET	1690	0.20615	0.059524	0.039526	9.2713e-08	GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	SET	True	9.2713e-08	17008	2.9397930385700847e-06	8.760348355555556e-05	True	True	18.0	0.20615	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_REGULATION_OF_MRNA_META...	SET	277	0.4062	0.049448	0.087731	1.8416e-06	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	SET	True	1.8416e-06	17008	2.9397930385700847e-06	0.00078304832	True	True	40.0	0.4062	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_REGULATION_OF_RNA_SPLIC...	SET	157	0.52375	0.048159	0.11335	1.9285e-06	GOBP_REGULATION_OF_RNA_SPLICING	SET	True	1.9285e-06	17008	2.9397930385700847e-06	0.000799998243902439	True	True	41.0	0.52375	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_REGULATION_OF_TRANS_SYN...	SET	439	0.36886	0.056274	0.074757	4.0665e-07	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	SET	True	4.0665e-07	17008	2.9397930385700847e-06	0.00024701082857142857	True	True	28.0	0.36886	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_RNA_SPLICING	SET	389	0.35701	0.051343	0.073037	5.1389e-07	GOBP_RNA_SPLICING	SET	True	5.1389e-07	17008	2.9397930385700847e-06	0.00030138762482758623	True	True	29.0	0.35701	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_SYNAPSE_ASSEMBLY	SET	174	0.6871	0.06648	0.12247	1.0264e-08	GOBP_SYNAPSE_ASSEMBLY	SET	True	1.0264e-08	17008	2.9397930385700847e-06	1.3428470153846154e-05	True	True	13.0	0.6871	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_SYNAPSE_ORGANIZATION	SET	421	0.41645	0.062251	0.078258	5.2124e-08	GOBP_SYNAPSE_ORGANIZATION	SET	True	5.2124e-08	17008	2.9397930385700847e-06	5.5407811999999994e-05	True	True	16.0	0.41645	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_SYNAPTIC_MEMBRANE_ADHES...	SET	25	1.6581	0.061059	0.34329	6.887e-07	GOBP_SYNAPTIC_MEMBRANE_ADHESION	SET	True	6.887e-07	17008	2.9397930385700847e-06	0.000354951806060606	True	True	33.0	1.6581	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_SYNAPTIC_SIGNALING	SET	709	0.2992	0.057573	0.059755	2.7909e-07	GOBP_SYNAPTIC_SIGNALING	SET	True	2.7909e-07	17008	2.9397930385700847e-06	0.00017580602666666665	True	True	27.0	0.2992	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOCC_AXON	SET	594	0.31757	0.056113	0.065709	6.7892e-07	GOCC_AXON	SET	True	6.7892e-07	17008	2.9397930385700847e-06	0.000354951806060606	True	True	32.0	0.31757	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOCC_CHROMATIN	SET	1173	0.28868	0.070507	0.046982	4.1039e-10	GOCC_CHROMATIN	SET	True	4.1039e-10	17008	2.9397930385700847e-06	7.755459022222223e-07	True	True	9.0	0.28868	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOCC_CHROMOSOME	SET	1704	0.2466	0.071466	0.038973	1.2789e-10	GOCC_CHROMOSOME	SET	True	1.2789e-10	17008	2.9397930385700847e-06	5.4378828e-07	True	True	4.0	0.2466	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOCC_DENDRITIC_TREE	SET	570	0.34599	0.059929	0.066832	1.1404e-07	GOCC_DENDRITIC_TREE	SET	True	1.1404e-07	17008	2.9397930385700847e-06	0.00010208380631578948	True	True	19.0	0.34599	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOCC_GABA_ERGIC_SYNAPSE	SET	77	0.88482	0.057102	0.19032	1.6789e-06	GOCC_GABA_ERGIC_SYNAPSE	SET	True	1.6789e-06	17008	2.9397930385700847e-06	0.0007514402947368421	True	True	38.0	0.88482	True	True	True
