	MDD	EA	SCZ	CF
MDD	1.0737	-0.0229	0.06	-0.0007
EA	-0.0229	0.9688	-0.0045	0.1988
SCZ	0.06	-0.0045	1.0787	-0.0083
CF	-0.0007	0.1988	-0.0083	1.0381
